Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R22,220Ω,R_0402_1005Metric,134.5,-109.02,90.0,top
R23,220Ω,R_0402_1005Metric,136.0,-109.02,90.0,top
R24,3k9Ω 1%,R_0402_1005Metric,130.0,-96.728476,0.0,top
R25,3k9Ω 1%,R_0402_1005Metric,135.5,-96.728476,180.0,top
R26,47Ω,R_0402_1005Metric,185.491181,-51.285976,-90.0,top
R27,47Ω,R_0402_1005Metric,178.491181,-51.275976,-90.0,top
R28,220Ω,R_0402_1005Metric,173.991181,-51.978476,-90.0,top
R29,470Ω,R_0402_1005Metric,170.5,-67.978476,0.0,top
R3,5k1Ω,R_0402_1005Metric,171.020545,-126.708964,0.0,top
R4,1k5Ω,R_0402_1005Metric,175.322381,-123.602739,0.0,top
R5,1k5Ω,R_0402_1005Metric,149.209778,-125.0,90.0,top
R6,1k5Ω,R_0402_1005Metric,170.430006,-117.212494,-90.0,top
R7,1k5Ω,R_0402_1005Metric,167.920006,-117.212494,-90.0,top
R8,1k5Ω,R_0402_1005Metric,165.430006,-117.212494,-90.0,top
R9,4k7Ω,R_0402_1005Metric,194.5,-95.978476,-90.0,top
RN1,56Ω,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,145.9,-117.5,90.0,top
SW1,BOOT0,SW_SPDT_PCM12,204.316181,-113.978476,90.0,top
SW2,Gain0,SW_SPDT_PCM12,109.675,-110.0,-90.0,top
SW3,Gain1,SW_SPDT_PCM12,109.675,-99.901199,-90.0,top
SW4,BTN1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,200.991181,-94.478476,0.0,top
SW5,BTN2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,200.991181,-101.978476,180.0,top
SW6,Reset,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,200.991181,-123.628476,0.0,top
U1,STM32F722RETx,LQFP-64_10x10mm_P0.5mm,170.991181,-100.025976,-90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,156.991181,-127.978476,180.0,top
U3,PAM8908JER,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,132.491181,-89.978476,0.0,top
U4,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,134.0,-116.0,0.0,top
U6,6N137S-TA1,SOP-8_L9.8-W6.6-P2.54-LS10.3-BL,158.491181,-60.525976,180.0,top
U7,6N137S-TA1,SOP-8_L9.8-W6.6-P2.54-LS10.3-BL,171.491181,-60.478476,180.0,top
U8,AP7333-33SRG-7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,134.0,-130.0,90.0,top
X1,32.768kHz 7pF,FC-135R_L3.2-W1.5,177.0,-85.5,180.0,top
Y1,16MHz 10pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,168.434656,-84.888607,125.0,top
